element,sp_num,obs_wl_air(nm),Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
Al,1,"=""736.1568""","=""2.32e+06""","=""2.83e-02""","=""2.74e+00""","=""-0.946""",C+,"=""32435.453""","=""46015.774""","=""3s2.3d""","=""2D""","=""3/2""","=""3s2.7f""","=""2F*""","=""5/2""",4,6,,
Al,1,"=""736.2297""","=""2.49e+06""","=""2.70e-02""","=""3.93e+00""","=""-0.790""",C+,"=""32436.796""","=""46015.774""","=""3s2.3d""","=""2D""","=""5/2""","=""3s2.7f""","=""2F*""","=""7/2""",6,8,,
Al,2,"=""744.942""","=""1.16e+07""","=""1.61e-01""","=""1.19e+01""","=""-0.316""",A,"=""125869.015""","=""139289.15""","=""3s.5p""","=""1P*""","=""1""","=""3s.6d""","=""1D""","=""2""",3,5,,
Al,2,"=""747.141""","=""5.57e+07""","=""6.53e-01""","=""8.03e+01""","=""0.514""",B+,"=""110089.83""","=""123470.5""","=""3s.3d""","=""1D""","=""2""","=""3s.4f""","=""1F*""","=""3""",5,7,,
Al,1,"=""760.6159""","=""4.36e+05""","=""7.56e-03""","=""3.79e-01""","=""-1.820""",D,"=""32949.807""","=""46093.424""","=""3s2.4p""","=""2P*""","=""1/2""","=""3s2.7d""","=""2D""","=""3/2""",2,4,,
Al,1,"=""761.4820""","=""5.20e+05""","=""6.79e-03""","=""6.81e-01""","=""-1.566""",C,"=""32965.639""","=""46094.312""","=""3s2.4p""","=""2P*""","=""3/2""","=""3s2.7d""","=""2D""","=""5/2""",4,6,,
Al,1,"=""761.5339""","=""8.68e+04""","=""7.55e-04""","=""7.57e-02""","=""-2.520""",E,"=""32965.639""","=""46093.424""","=""3s2.4p""","=""2P*""","=""3/2""","=""3s2.7d""","=""2D""","=""3/2""",4,4,,
Al,2,"=""762.448""","=""4.59e+06""","=""1.20e-01""","=""3.01e+00""","=""-0.921""",B,"=""125703.14""","=""138814.87""","=""3s.5p""","=""3P*""","=""0""","=""3s.6d""","=""3D""","=""1""",1,3,,
Al,2,"=""762.785""","=""6.20e+06""","=""9.02e-02""","=""6.80e+00""","=""-0.568""",B,"=""125708.828""","=""138814.87""","=""3s.5p""","=""3P*""","=""1""","=""3s.6d""","=""3D""","=""2""",3,5,,
Al,2,"=""763.533""","=""8.25e+06""","=""1.01e-01""","=""1.27e+01""","=""-0.297""",B+,"=""125721.703""","=""138815.12""","=""3s.5p""","=""3P*""","=""2""","=""3s.6d""","=""3D""","=""3""",5,7,,
