# Experimental LIBS spectrum: Na I D doublet (D2 588.995 nm, D1 589.592 nm)
# Source: P. B. Hansen, PhD thesis "Laser-Induced Breakdown Spectroscopy
#   Under Martian Conditions" (docs/Literature/hansen_peder-LIBS_martian_conditions.pdf),
#   Figure 4.4.5 (thesis p. 78 / PDF p. 92), bottom-left panel.
# Sample: pressed pellet of mixed carbonates CaCO3+MgCO3+MnCO3+Na2CO3
#   (Na 12.68 at%), in experimentally simulated Martian atmosphere
#   (0.7 kPa, mainly CO2; thesis p. 20).
# Acquisition: delay time 500 ns, integration (gate) time 50 ns, 35 mJ
#   on sample, 10 Hz, 30 accumulated shots; LTB Aryelle Butterfly
#   echelle + Andor iStar ICCD; entrance slit 50x50 um2; intensity-
#   calibrated (signal prop. photons/nm); FWHM_instr = 0.065 nm at
#   656.3 nm (thesis Sec. 4.4.2).
# Plasma parameters measured in the same work at 500 ns delay:
#   n_e = 7e22 m^-3 (H-alpha Stark broadening, thesis Fig. 4.4.4)
#   T = (12822 +/- 292) K (multi-element Saha-Boltzmann, Fig. 4.4.6a)
#   plasma extent ~4 mm total (thesis Sec. 4.4.3).
# Extraction: see examples/digitize_hansen_naD.py (method in its
#   docstring). 569 of 1474 columns had the dashed
#   Voigt-fit overlay contributing to the stroke span (flag column).
#   1474 points, 586.772-592.921 nm, ~4.2 pm/point.
# columns: wavelength_nm,intensity,fit_overlay_contributed
588.06184,1.664,1
588.06602,1.664,1
588.07019,2.774,1
588.07437,2.774,1
588.07854,3.328,1
588.08272,3.328,1
588.08689,3.328,1
588.09107,3.328,1
588.09524,2.774,1
588.09942,2.774,1
588.10359,2.774,1
588.10777,2.774,1
588.11194,2.774,1
588.11611,2.774,1
588.12029,2.774,1
588.12446,2.774,1
588.12864,3.883,1
588.13281,3.883,1
588.13699,3.883,1
588.14116,3.883,1
588.14534,3.883,1
588.14951,4.437,0
588.15369,3.883,0
588.15786,3.883,0
588.16204,3.883,0
588.16621,2.774,0
588.17038,2.774,0
588.17456,1.664,0
588.17873,1.664,0
588.18291,1.664,0
588.18708,2.219,0
588.19126,3.328,0
588.19543,3.883,0
588.19961,3.883,0
588.20378,4.437,0
588.20796,4.437,0
588.21213,4.437,0
588.21631,3.883,0
588.22048,3.883,1
588.22465,3.328,1
588.22883,2.774,1
588.23300,2.774,1
588.23718,2.774,1
588.24135,2.774,1
588.24553,2.774,1
588.24970,2.219,1
588.25388,2.219,1
588.25805,2.219,1
588.26223,2.219,1
588.26640,2.219,1
588.27058,2.219,1
588.27475,2.774,1
588.27892,2.774,1
588.28310,2.774,1
588.28727,2.774,1
588.29145,3.328,1
588.29562,3.328,1
588.29980,3.328,1
588.30397,3.328,1
588.30815,3.883,1
588.31232,4.437,1
588.31650,4.437,1
588.32067,4.437,1
588.32485,4.437,1
588.32902,4.437,1
588.33319,4.437,1
588.33737,4.437,1
588.34154,4.437,1
588.34572,4.437,1
588.34989,3.883,1
588.35407,3.883,1
588.35824,3.883,1
588.36242,3.883,1
588.36659,3.883,1
588.37077,3.883,1
588.37494,3.883,1
588.37912,3.328,1
588.38329,3.328,0
588.38746,3.328,0
588.39164,3.883,0
588.39581,4.437,0
588.39999,4.437,0
588.40416,4.437,0
588.40834,4.992,0
588.41251,5.547,0
588.41669,5.547,0
588.42086,5.547,0
588.42504,6.101,0
588.42921,6.656,0
588.43339,6.656,0
588.43756,6.656,0
588.44173,6.656,0
588.44591,6.656,0
588.45008,6.656,1
588.45426,6.101,1
588.45843,6.101,1
588.46261,6.656,1
588.46678,7.211,1
588.47096,7.211,1
588.47513,7.211,1
588.47931,7.765,1
588.48348,7.765,1
588.48766,7.765,1
588.49183,7.765,1
588.49600,7.211,1
588.50018,7.211,1
588.50435,7.211,1
588.50853,7.211,1
588.51270,7.765,1
588.51688,7.765,1
588.52105,7.211,1
588.52523,7.211,1
588.52940,7.211,1
588.53358,7.211,1
588.53775,7.211,1
588.54193,7.765,1
588.54610,8.320,1
588.55027,8.874,1
588.55445,8.874,1
588.55862,7.765,1
588.56280,7.765,1
588.56697,7.211,1
588.57115,7.211,1
588.57532,7.211,1
588.57950,7.211,1
588.58367,7.211,1
588.58785,7.765,1
588.59202,7.765,1
588.59620,8.874,1
588.60037,9.984,1
588.60454,11.093,1
588.60872,12.202,1
588.61289,13.312,0
588.61707,13.866,0
588.62124,14.975,0
588.62542,15.530,0
588.62959,16.085,0
588.63377,16.085,0
588.63794,15.530,0
588.64212,15.530,0
588.64629,15.530,0
588.65047,16.085,0
588.65464,16.639,0
588.65881,17.194,0
588.66299,17.749,0
588.66716,18.303,0
588.67134,18.303,1
588.67551,18.303,1
588.67969,18.303,1
588.68386,17.194,1
588.68804,16.639,1
588.69221,16.639,1
588.69639,17.194,1
588.70056,17.194,1
588.70474,17.749,1
588.70891,18.858,1
588.71308,19.412,1
588.71726,19.967,1
588.72143,21.076,1
588.72561,21.631,1
588.72978,22.186,1
588.73396,23.295,1
588.73813,23.849,1
588.74231,24.404,1
588.74648,25.513,1
588.75066,26.068,1
588.75483,27.177,1
588.75901,27.732,1
588.76318,28.841,1
588.76735,29.950,1
588.77153,31.060,1
588.77570,32.724,1
588.77988,33.833,1
588.78405,34.387,1
588.78823,36.051,1
588.79240,37.715,1
588.79658,39.379,1
588.80075,42.152,1
588.80493,43.816,1
588.80910,46.035,1
588.81328,49.362,1
588.81745,51.026,1
588.82162,53.800,1
588.82580,57.127,1
588.82997,59.346,1
588.83415,62.674,1
588.83832,67.111,1
588.84250,72.657,1
588.84667,77.649,1
588.85085,83.750,1
588.85502,90.405,1
588.85920,97.061,1
588.86337,104.826,1
588.86755,112.590,1
588.87172,120.910,1
588.87589,128.120,1
588.88007,136.440,1
588.88424,146.977,1
588.88842,158.625,1
588.89259,178.591,1
588.89677,192.457,1
588.90094,204.659,1
588.90512,222.407,1
588.90929,240.710,1
588.91347,263.450,1
588.91764,291.181,1
588.92182,313.367,1
588.92599,332.224,1
588.93016,363.283,1
588.93434,550.194,1
588.93851,582.363,1
588.94269,623.405,1
588.94686,644.481,1
588.95104,683.305,1
588.95521,704.381,1
588.95939,705.491,1
588.96356,727.676,1
588.96774,731.004,1
588.97191,732.113,1
588.97609,733.222,1
588.98026,733.222,1
588.98443,733.222,1
588.98861,733.222,1
588.99278,733.222,1
588.99696,733.222,1
589.00113,732.113,1
589.00531,731.004,1
589.00948,727.676,1
589.01366,719.911,1
589.01783,704.381,1
589.02201,694.398,1
589.02618,662.229,1
589.03036,613.422,1
589.03453,585.690,1
589.03870,549.085,1
589.04288,511.370,1
589.04705,473.655,1
589.05123,430.394,1
589.05540,405.990,1
589.05958,362.729,1
589.06375,239.046,1
589.06793,215.197,1
589.07210,197.449,1
589.07628,179.701,1
589.08045,167.499,1
589.08463,154.188,1
589.08880,138.103,1
589.09297,128.675,1
589.09715,119.801,1
589.10132,77.649,1
589.10550,74.321,1
589.10967,70.993,1
589.11385,67.665,1
589.11802,66.556,1
589.12220,62.119,1
589.12637,61.010,1
589.13055,57.682,1
589.13472,55.463,1
589.13890,53.245,1
589.14307,51.026,1
589.14724,49.917,1
589.15142,47.699,1
589.15559,45.480,1
589.15977,43.262,1
589.16394,41.043,1
589.16812,39.934,1
589.17229,37.715,1
589.17647,36.606,1
589.18064,36.606,1
589.18482,35.497,1
589.18899,35.497,1
589.19317,34.387,1
589.19734,33.278,1
589.20151,33.278,1
589.20569,33.278,1
589.20986,33.278,1
589.21404,32.169,1
589.21821,32.169,1
589.22239,31.060,1
589.22656,29.950,1
589.23074,28.841,0
589.23491,27.732,0
589.23909,26.623,0
589.24326,25.513,0
589.24744,24.404,0
589.25161,24.404,0
589.25578,24.404,0
589.25996,23.295,0
589.26413,23.295,0
589.26831,23.295,0
589.27248,23.295,0
589.27666,23.295,1
589.28083,23.295,1
589.28501,23.295,1
589.28918,22.186,1
589.29336,22.186,1
589.29753,22.186,1
589.30171,22.186,1
589.30588,22.186,1
589.31005,22.186,1
589.31423,22.186,1
589.31840,22.186,1
589.32258,22.186,1
589.32675,22.186,1
589.33093,22.186,1
589.33510,22.186,1
589.33928,22.186,1
589.34345,22.186,1
589.34763,22.186,1
589.35180,22.186,1
589.35598,22.186,1
589.36015,22.186,1
589.36432,23.295,1
589.36850,23.295,1
589.37267,23.295,1
589.37685,23.295,1
589.38102,23.295,1
589.38520,23.295,1
589.38937,24.404,1
589.39355,24.404,1
589.39772,25.513,1
589.40190,26.623,1
589.40607,26.623,1
589.41025,27.732,1
589.41442,27.732,1
589.41859,28.841,1
589.42277,28.841,1
589.42694,29.950,1
589.43112,29.950,1
589.43529,31.060,1
589.43947,32.169,1
589.44364,33.278,1
589.44782,35.497,1
589.45199,37.715,1
589.45617,49.362,1
589.46034,52.690,1
589.46452,56.573,1
589.46869,60.455,1
589.47286,64.338,1
589.47704,70.438,1
589.48121,77.094,1
589.48539,83.750,1
589.48956,90.960,1
589.49374,98.725,1
589.49791,108.153,1
589.50209,123.683,1
589.50626,137.549,1
589.51044,148.641,1
589.51461,164.171,1
589.51879,184.138,1
589.52296,204.659,1
589.52714,223.517,1
589.53131,368.275,1
589.53548,394.897,1
589.53966,432.612,1
589.54383,455.907,1
589.54801,479.201,1
589.55218,502.496,1
589.55636,513.588,1
589.56053,535.774,1
589.56471,543.538,1
589.56888,546.866,1
589.57306,547.975,1
589.57723,549.085,1
589.58141,549.085,1
589.58558,549.085,1
589.58975,549.085,1
589.59393,549.085,1
589.59810,549.085,1
589.60228,547.975,1
589.60645,546.866,1
589.61063,544.648,1
589.61480,539.101,1
589.61898,528.009,1
589.62315,496.949,1
589.62733,490.294,1
589.63150,476.983,1
589.63568,438.159,1
589.63985,412.646,1
589.64402,373.821,1
589.64820,341.653,1
589.65237,310.594,1
589.65655,278.425,1
589.66072,170.827,1
589.66490,158.070,1
589.66907,139.213,1
589.67325,126.456,1
589.67742,111.481,1
589.68160,101.498,1
589.68577,93.178,1
589.68995,85.413,1
589.69412,77.649,1
589.69829,69.884,1
589.70247,62.119,1
589.70664,58.237,1
589.71082,54.909,1
589.71499,51.026,1
589.71917,47.144,1
589.72334,44.371,1
589.72752,41.598,1
589.73169,38.825,1
589.73587,37.161,1
589.74004,35.497,1
589.74422,34.387,1
589.74839,32.724,1
589.75256,31.060,1
589.75674,28.841,0
589.76091,27.177,0
589.76509,24.959,0
589.76926,23.295,0
589.77344,21.631,1
589.77761,21.631,1
589.78179,20.522,1
589.78596,19.967,1
589.79014,18.858,1
589.79431,18.303,1
589.79849,17.194,1
589.80266,16.639,1
589.80683,16.085,1
